customer_id,categories_interested,price_sensitivity,preferred_brands,preferred_styles,preferred_shopping_days
CUST-0000001,women,low,"Seaside Atelier,Montclair House","classic,designer",weekday_morning
CUST-0000002,"shoes,jewelry,accessories",medium,Bellezza Studio,designer,weekend
CUST-0000003,"jewelry,women,home",medium,"Bellezza Studio,Aurelle Couture","classic,designer",anytime
CUST-0000004,"home,shoes,women",medium,"Montclair House,Bellezza Studio,Luxe & Co.","editorial,athleisure",weekend
CUST-0000005,"jewelry,beauty,shoes",medium,,contemporary,weekday_evening
CUST-0000006,jewelry,medium,,athleisure,weekend
CUST-0000007,shoes,medium,"Montclair House,Seaside Atelier",athleisure,weekday_morning
CUST-0000008,"men,home",low,Luxe & Co.,contemporary,weekend
CUST-0000009,"handbags,men",medium,"Veloce Luxe,Montclair House","classic,athleisure",weekday_evening
CUST-0000010,"women,home,handbags",medium,,designer,weekday_morning
CUST-0000011,home,medium,Luxe & Co.,"classic,contemporary",weekday_morning
CUST-0000012,"accessories,shoes,handbags",medium,"Bellezza Studio,Veloce Luxe,Montclair House","editorial,athleisure",weekday_evening
CUST-0000013,"shoes,accessories,jewelry",medium,"Veloce Luxe,Luxe & Co.","classic,athleisure",weekday_morning
CUST-0000014,"beauty,men,accessories",high,"Montclair House,Aurelle Couture",classic,weekday_evening
CUST-0000015,"accessories,women",low,"Veloce Luxe,Aurelle Couture,Luxe & Co.",editorial,weekday_morning
CUST-0000016,"accessories,shoes,beauty",low,"Bellezza Studio,Montclair House,Veloce Luxe",athleisure,weekday_evening
CUST-0000017,women,low,Seaside Atelier,editorial,weekday_evening
CUST-0000018,"beauty,home",high,"Seaside Atelier,Bellezza Studio,Veloce Luxe",contemporary,weekday_evening
CUST-0000019,"accessories,shoes",low,"Luxe & Co.,Seaside Atelier,Veloce Luxe",athleisure,weekday_morning
CUST-0000020,women,medium,"Bellezza Studio,Aurelle Couture,Veloce Luxe",athleisure,weekend
CUST-0000021,"home,accessories,women",medium,Veloce Luxe,"athleisure,contemporary",anytime
CUST-0000022,"handbags,shoes,beauty",low,"Luxe & Co.,Veloce Luxe,Bellezza Studio","classic,athleisure",weekend
CUST-0000023,"jewelry,men",medium,"Montclair House,Aurelle Couture",athleisure,weekday_evening
CUST-0000024,"women,home",medium,,"designer,athleisure",weekday_morning
CUST-0000025,shoes,low,"Luxe & Co.,Veloce Luxe","editorial,designer",weekday_evening
CUST-0000026,"handbags,shoes",medium,"Luxe & Co.,Bellezza Studio","editorial,athleisure",weekday_morning
CUST-0000027,"beauty,jewelry,accessories",medium,,editorial,weekday_morning
CUST-0000028,"shoes,accessories,men",high,,"designer,athleisure",anytime
CUST-0000029,"shoes,jewelry,women",medium,"Aurelle Couture,Bellezza Studio",designer,weekday_morning
CUST-0000030,"accessories,shoes",medium,"Veloce Luxe,Luxe & Co.",designer,anytime
CUST-0000031,"men,home,beauty",medium,Veloce Luxe,"designer,contemporary",weekday_morning
